Order ID,Order Date,Customer ID,Quantity,Size,Unit Price,Sales,Tipe Kopi,Ukuran,Kategori
AMM-79521-378,6/1/2021,24825-51803-CQ,6,0.5,5.97,35.82,A,D,Sangat Laris
QUQ-90580-772,2/6/2021,77634-13918-GJ,2,0.2,4.365,8.73,L,M,Kurang Laris
LGD-24408-274,4/25/2019,13694-25001-LX,3,0.5,9.51,28.53,L,L,Cukup Laris
HCT-95608-959,4/25/2020,08523-01791-TI,5,2.5,22.885,114.425,R,M,Sangat Laris
OFX-99147-470,11/24/2021,49860-68865-AB,6,1,9.95,59.7,R,M,Sangat Laris
LUO-37559-016,4/19/2021,21240-83132-SP,3,1,14.55,43.65,L,M,Sangat Laris
XWC-20610-167,7/7/2022,08350-81623-TF,2,0.2,3.645,7.29,E,D,Kurang Laris
GPU-79113-136,5/22/2019,73284-01385-SJ,3,0.2,2.685,8.055,R,D,Kurang Laris
ULR-52653-960,10/4/2021,04152-34436-IE,2,2.5,36.455,72.91,L,L,Sangat Laris
HPI-42308-142,4/11/2020,06631-86965-XP,2,0.5,8.25,16.5,E,M,Cukup Laris
XHI-30227-581,1/31/2022,54619-08558-ZU,6,2.5,29.785,178.71,L,D,Sangat Laris
DJH-05202-380,11/7/2019,85589-17020-CX,2,2.5,31.625,63.25,E,M,Sangat Laris
VMW-26889-781,6/28/2019,36078-91009-WU,2,0.2,3.885,7.77,A,L,Kurang Laris
DBU-81099-586,9/11/2020,15770-27099-GX,4,2.5,22.885,91.54,A,D,Sangat Laris
PQA-54820-810,8/17/2022,91460-04823-BX,3,1,12.95,38.85,A,L,Sangat Laris
XKB-41924-202,8/19/2022,45089-52817-WN,2,0.5,7.77,15.54,L,D,Kurang Laris
DWZ-69106-473,5/15/2019,76447-50326-IC,4,2.5,36.455,145.82,L,L,Sangat Laris
YHV-68700-050,9/11/2019,26333-67911-OL,5,0.5,5.97,29.85,R,M,Sangat Laris
YHV-68700-050,9/11/2019,26333-67911-OL,2,2.5,36.455,72.91,L,L,Sangat Laris
KRB-88066-642,3/16/2021,22107-86640-SB,5,1,14.55,72.75,L,M,Sangat Laris
LQU-08404-173,12/3/2020,09960-34242-LZ,3,1,15.85,47.55,L,L,Sangat Laris
CWK-60159-881,1/27/2020,04671-85591-RT,3,0.2,3.645,10.935,E,D,Kurang Laris
EEG-74197-843,7/17/2022,25729-68859-UA,4,1,14.85,59.4,E,L,Sangat Laris
UCZ-59708-525,3/4/2022,05501-86351-NX,3,2.5,29.785,89.355,L,D,Sangat Laris
HUB-47311-849,12/7/2021,04521-04300-OK,3,0.5,8.73,26.19,L,M,Cukup Laris
WYM-17686-694,2/25/2021,58689-55264-VK,5,2.5,22.885,114.425,A,D,Sangat Laris
ZYQ-15797-695,2/25/2019,79436-73011-MM,5,0.5,5.37,26.85,R,D,Cukup Laris
EEJ-16185-108,2/9/2019,65552-60476-KY,5,0.2,4.755,23.775,L,L,Cukup Laris
RWR-77888-800,2/7/2020,69904-02729-YS,1,0.5,6.75,6.75,A,M,Kurang Laris
LHN-75209-742,3/23/2020,01433-04270-AX,6,0.5,5.97,35.82,R,M,Sangat Laris
TIR-71396-998,3/6/2022,14204-14186-LA,4,2.5,20.585,82.34,R,D,Sangat Laris
RXF-37618-213,4/15/2022,32948-34398-HC,1,0.5,7.17,7.17,R,L,Kurang Laris
ANM-16388-634,11/19/2021,77343-52608-FF,2,0.2,4.755,9.51,L,L,Kurang Laris
WYL-29300-070,10/16/2019,42770-36274-QA,1,0.2,2.985,2.985,R,M,Kurang Laris
JHW-74554-805,11/26/2019,14103-58987-ZU,6,1,9.95,59.7,R,M,Sangat Laris
KYS-27063-603,6/30/2019,69958-32065-SW,4,2.5,34.155,136.62,E,L,Sangat Laris
GAZ-58626-277,1/4/2021,69533-84907-FA,2,0.2,4.755,9.51,L,L,Kurang Laris
RPJ-37787-335,10/27/2020,76005-95461-CI,3,2.5,25.875,77.625,A,M,Sangat Laris
LEF-83057-763,6/15/2021,15395-90855-VB,5,0.2,4.365,21.825,L,M,Cukup Laris
RPW-36123-215,7/19/2021,80640-45811-LB,2,0.5,8.91,17.82,E,L,Cukup Laris
WLL-59044-117,7/23/2021,28476-04082-GR,6,1,8.95,53.7,R,D,Sangat Laris
AWT-22827-563,1/25/2020,12018-75670-EU,1,0.2,3.585,3.585,R,L,Kurang Laris
QLM-07145-668,5/9/2019,86437-17399-FK,2,0.2,3.645,7.29,E,D,Kurang Laris
HVQ-64398-930,3/30/2020,62979-53167-ML,6,0.5,6.75,40.5,A,M,Sangat Laris
WRT-40778-247,3/13/2022,54810-81899-HL,4,1,11.95,47.8,R,L,Sangat Laris
SUB-13006-125,4/17/2019,26103-41504-IB,5,0.5,7.77,38.85,A,L,Sangat Laris
CQM-49696-263,10/25/2019,76534-45229-SG,3,2.5,36.455,109.365,L,L,Sangat Laris
KXN-85094-246,9/13/2019,81744-27332-RR,3,2.5,33.465,100.395,L,M,Sangat Laris
XOQ-12405-419,4/12/2020,91513-75657-PH,4,2.5,20.585,82.34,R,D,Sangat Laris
HYF-10254-369,11/14/2019,30373-66619-CB,1,0.5,9.51,9.51,L,L,Kurang Laris
XXJ-47000-307,7/18/2019,31582-23562-FM,3,2.5,29.785,89.355,A,L,Sangat Laris
XXJ-47000-307,7/18/2019,31582-23562-FM,4,0.2,2.985,11.94,A,D,Kurang Laris
ZDK-82166-357,4/3/2021,81431-12577-VD,3,1,11.25,33.75,A,M,Sangat Laris
IHN-19982-362,3/29/2021,68894-91205-MP,3,1,11.95,35.85,R,L,Sangat Laris
VMT-10030-889,12/15/2021,87602-55754-VN,6,1,12.95,77.7,A,L,Sangat Laris
NHL-11063-100,5/20/2020,39181-35745-WH,4,1,12.95,51.8,A,L,Sangat Laris
ROV-87448-086,11/2/2020,30381-64762-NG,4,2.5,25.875,103.5,A,M,Sangat Laris
DGY-35773-612,7/25/2020,17503-27693-ZH,3,1,14.85,44.55,E,L,Sangat Laris
YWH-50638-556,3/14/2019,89442-35633-HJ,4,0.5,8.91,35.64,E,L,Sangat Laris
ISL-11200-600,7/2/2020,13654-85265-IL,6,0.2,2.985,17.91,A,D,Cukup Laris
LBZ-75997-047,12/17/2019,40946-22090-FP,6,2.5,25.875,155.25,A,M,Sangat Laris
EUH-08089-954,12/6/2020,29050-93691-TS,2,0.2,2.985,5.97,A,D,Kurang Laris
BLD-12227-251,3/4/2021,64395-74865-WF,2,0.5,6.75,13.5,A,M,Kurang Laris
OPY-30711-853,7/17/2021,81861-66046-SU,1,0.2,2.985,2.985,A,D,Kurang Laris
DBC-44122-300,11/4/2020,13366-78506-KP,3,0.2,4.365,13.095,L,M,Kurang Laris
FJQ-60035-234,4/5/2021,08847-29858-HN,2,0.2,3.885,7.77,A,L,Kurang Laris
HSF-66926-425,3/1/2020,00539-42510-RY,5,2.5,29.785,148.925,L,D,Sangat Laris
LQG-41416-375,10/19/2021,45190-08727-NV,3,1,12.95,38.85,L,D,Sangat Laris
VZO-97265-841,7/8/2022,87049-37901-FU,4,0.2,2.985,11.94,R,M,Kurang Laris
MOR-12987-399,8/17/2019,34015-31593-JC,6,1,14.55,87.3,L,M,Sangat Laris
UOA-23786-489,5/31/2020,90305-50099-SV,6,0.5,6.75,40.5,A,M,Sangat Laris
AJL-52941-018,5/5/2020,55871-61935-MF,2,1,12.15,24.3,E,D,Cukup Laris
XSZ-84273-421,4/14/2019,15405-60469-TM,3,0.5,5.97,17.91,R,M,Cukup Laris
NUN-48214-216,7/29/2020,06953-94794-FB,4,0.5,6.75,27,A,M,Cukup Laris
AKV-93064-769,12/12/2019,22305-40299-CY,1,0.5,7.77,7.77,L,D,Kurang Laris
BRB-40903-533,6/15/2022,09020-56774-GU,3,0.2,4.455,13.365,E,L,Kurang Laris
GPR-19973-483,6/26/2019,92926-08470-YS,5,0.5,5.37,26.85,R,D,Cukup Laris
XIY-43041-882,10/12/2021,07250-63194-JO,1,1,11.25,11.25,A,M,Kurang Laris
YGY-98425-969,4/1/2019,63787-96257-TQ,1,1,14.55,14.55,L,M,Kurang Laris
MSB-08397-648,3/10/2021,49530-25460-RW,4,0.2,3.585,14.34,R,L,Kurang Laris
WDR-06028-345,8/16/2019,66508-21373-OQ,1,1,15.85,15.85,L,L,Cukup Laris
MXM-42948-061,8/11/2020,20203-03950-FY,4,0.2,4.755,19.02,L,L,Cukup Laris
MGQ-98961-173,4/5/2022,83895-90735-XH,4,0.5,9.51,38.04,L,L,Sangat Laris
RFH-64349-897,10/22/2019,61954-61462-RJ,3,0.5,7.29,21.87,E,D,Cukup Laris
TKL-20738-660,10/2/2021,47939-53158-LS,1,0.2,4.125,4.125,E,M,Kurang Laris
TKL-20738-660,10/2/2021,47939-53158-LS,1,0.2,3.885,3.885,A,L,Kurang Laris
TKL-20738-660,10/2/2021,47939-53158-LS,5,1,13.75,68.75,E,M,Sangat Laris
GOW-03198-575,3/13/2021,61513-27752-FA,4,0.5,5.97,23.88,A,D,Cukup Laris
QJB-90477-635,6/12/2022,89714-19856-WX,4,2.5,36.455,145.82,L,L,Sangat Laris
MWP-46239-785,4/27/2019,87979-56781-YV,5,0.2,4.365,21.825,L,M,Cukup Laris
QDV-03406-248,5/23/2019,74126-88836-KA,3,0.5,8.73,26.19,L,M,Cukup Laris
GPH-40635-105,7/14/2020,37397-05992-VO,1,1,11.25,11.25,A,M,Kurang Laris
JOM-80930-071,11/10/2021,54904-18397-UD,6,1,12.95,77.7,L,D,Sangat Laris
OIL-26493-755,8/31/2021,19017-95853-EK,1,0.5,6.75,6.75,A,M,Kurang Laris
CYV-13426-645,7/6/2019,88593-59934-VU,1,1,12.15,12.15,E,D,Kurang Laris
WRP-39846-614,3/4/2022,47493-68564-YM,5,2.5,29.785,148.925,A,L,Sangat Laris
VDZ-76673-968,12/31/2020,82246-82543-DW,2,0.5,7.29,14.58,E,D,Kurang Laris
VTV-03546-175,7/31/2020,03384-62101-IY,5,2.5,29.785,148.925,A,L,Sangat Laris
GHR-72274-715,5/24/2021,86881-41559-OR,1,1,12.95,12.95,L,D,Kurang Laris
ZGK-97262-313,7/16/2022,02536-18494-AQ,3,2.5,31.625,94.875,E,M,Sangat Laris
ZFS-30776-804,2/5/2021,58638-01029-CB,5,0.5,7.77,38.85,A,L,Sangat Laris
QUU-91729-492,7/29/2021,90312-11148-LA,4,0.2,2.985,11.94,A,D,Kurang Laris
PVI-72795-960,3/17/2022,68239-74809-TF,3,2.5,34.155,102.465,E,L,Sangat Laris
PPP-78935-365,2/11/2021,91074-60023-IP,4,1,12.15,48.6,E,D,Sangat Laris
JUO-34131-517,2/13/2019,07972-83748-JI,6,1,12.95,77.7,L,D,Sangat Laris
ZJE-89333-489,5/13/2022,08694-57330-XR,1,2.5,29.785,29.785,L,D,Cukup Laris
LOO-35324-159,5/19/2020,68412-11126-YJ,4,0.2,3.885,15.54,A,L,Kurang Laris
JBQ-93412-846,4/27/2022,69037-66822-DW,4,2.5,34.155,136.62,E,L,Sangat Laris
EHX-66333-637,9/9/2020,01297-94364-XH,2,0.5,8.73,17.46,L,M,Cukup Laris
WXG-25759-236,3/10/2021,39919-06540-ZI,2,2.5,34.155,68.31,E,L,Sangat Laris
QNA-31113-984,4/7/2019,60512-78550-WS,4,0.2,4.365,17.46,L,M,Cukup Laris
ZWI-52029-159,7/12/2020,40172-12000-AU,3,1,14.55,43.65,L,M,Sangat Laris
ZWI-52029-159,7/12/2020,40172-12000-AU,2,1,13.75,27.5,E,M,Cukup Laris
DFS-49954-707,12/21/2021,39019-13649-CL,5,0.2,3.645,18.225,E,D,Cukup Laris
VYP-89830-878,10/4/2020,12715-05198-QU,2,2.5,25.875,51.75,A,M,Sangat Laris
AMT-40418-362,8/8/2020,04513-76520-QO,1,1,12.95,12.95,L,D,Kurang Laris
NFQ-23241-793,10/11/2020,88446-59251-SQ,3,1,11.25,33.75,A,M,Sangat Laris
JQK-64922-985,11/10/2021,23779-10274-KN,3,2.5,22.885,68.655,R,M,Sangat Laris
YET-17732-678,6/20/2021,57235-92842-DK,1,0.2,2.685,2.685,R,D,Kurang Laris
NKW-24945-846,10/4/2021,75977-30364-AY,5,2.5,22.885,114.425,A,D,Sangat Laris
VKA-82720-513,6/24/2019,12299-30914-NG,6,2.5,25.875,155.25,A,M,Sangat Laris
THA-60599-417,10/26/2019,59971-35626-YJ,3,2.5,25.875,77.625,A,M,Sangat Laris
MEK-39769-035,6/27/2021,15380-76513-PS,3,2.5,20.585,61.755,R,D,Sangat Laris
JAF-18294-750,9/6/2019,73564-98204-EY,6,2.5,20.585,123.51,R,D,Sangat Laris
TME-59627-221,4/30/2021,72282-40594-RX,6,2.5,36.455,218.73,L,L,Sangat Laris
UDG-65353-824,1/7/2020,17514-94165-RJ,4,0.5,8.25,33,E,M,Sangat Laris
ENQ-42923-176,1/11/2021,56248-75861-JX,3,0.5,7.77,23.31,A,L,Cukup Laris
CBT-55781-720,11/15/2021,97855-54761-IS,3,0.5,7.29,21.87,E,D,Cukup Laris
NEU-86533-016,6/3/2019,96544-91644-IT,6,0.2,2.685,16.11,R,D,Cukup Laris
BYU-58154-603,12/17/2020,51971-70393-QM,4,0.5,7.29,29.16,E,D,Cukup Laris
EHJ-05910-257,2/7/2021,06812-11924-IK,6,1,8.95,53.7,R,D,Sangat Laris
EIL-44855-309,3/15/2021,59741-90220-OW,5,0.5,5.37,26.85,R,D,Cukup Laris
HCA-87224-420,8/4/2022,62682-27930-PD,5,0.5,8.25,41.25,E,M,Sangat Laris
ABO-29054-365,1/19/2019,00256-19905-YG,6,0.5,6.75,40.5,A,M,Sangat Laris
TKN-58485-031,3/23/2022,38890-22576-UI,2,1,8.95,17.9,R,D,Cukup Laris
RCK-04069-371,10/7/2021,94573-61802-PH,2,2.5,34.155,68.31,E,L,Sangat Laris
IRJ-67095-738,3/20/2019,86447-02699-UT,2,2.5,31.625,63.25,E,M,Sangat Laris
VEA-31961-977,12/15/2021,51432-27169-KN,3,0.5,7.29,21.87,E,D,Cukup Laris
BAF-42286-205,6/8/2022,43074-00987-PB,4,2.5,22.885,91.54,R,M,Sangat Laris
WOR-52762-511,12/14/2019,04739-85772-QT,6,2.5,34.155,204.93,E,L,Sangat Laris
ZWK-03995-815,4/10/2021,28279-78469-YW,2,2.5,31.625,63.25,E,M,Sangat Laris
CKF-43291-846,3/10/2020,91829-99544-DS,1,2.5,34.155,34.155,E,L,Sangat Laris
RMW-74160-339,10/16/2020,38978-59582-JP,4,2.5,27.485,109.94,R,L,Sangat Laris
FMT-94584-786,10/8/2019,86504-96610-BH,2,1,12.95,25.9,A,L,Cukup Laris
NWT-78222-575,12/31/2019,75986-98864-EZ,1,0.2,2.985,2.985,A,D,Kurang Laris
EOI-02511-919,3/20/2020,66776-88682-RG,5,0.2,4.455,22.275,E,L,Cukup Laris
EOI-02511-919,3/20/2020,66776-88682-RG,5,0.5,5.97,29.85,A,D,Sangat Laris
UCT-03935-589,3/29/2021,85851-78384-DM,6,0.5,5.37,32.22,R,D,Sangat Laris
SBI-60013-494,11/12/2021,55232-81621-BX,2,0.2,4.125,8.25,E,M,Kurang Laris
QRA-73277-814,7/20/2021,80310-92912-JA,4,0.5,7.77,31.08,A,L,Sangat Laris
EQE-31648-909,1/18/2019,19821-05175-WZ,5,0.5,7.29,36.45,E,D,Sangat Laris
QOO-24615-950,8/7/2019,01338-83217-GV,3,2.5,22.885,68.655,R,M,Sangat Laris
WDV-73864-037,3/13/2022,66044-25298-TA,5,0.5,8.73,43.65,L,M,Sangat Laris
PKR-88575-066,5/17/2022,28728-47861-TZ,1,0.2,4.455,4.455,E,L,Kurang Laris
BWR-85735-955,12/14/2019,32638-38620-AX,3,1,14.55,43.65,L,M,Sangat Laris
YFX-64795-136,1/15/2020,83163-65741-IH,1,2.5,33.465,33.465,L,M,Sangat Laris
DDO-71442-967,4/12/2019,89422-58281-FD,5,0.2,3.885,19.425,L,D,Cukup Laris
ILQ-11027-588,3/29/2020,76293-30918-DQ,6,1,12.15,72.9,E,D,Sangat Laris
KRZ-13868-122,3/24/2022,86779-84838-EJ,3,1,14.85,44.55,E,L,Sangat Laris
VRM-93594-914,7/21/2021,66806-41795-MX,5,0.5,7.29,36.45,E,D,Sangat Laris
HXL-22497-359,8/6/2019,64875-71224-UI,3,1,12.95,38.85,A,L,Sangat Laris
NOP-21394-646,5/23/2021,16982-35708-BZ,6,0.5,8.91,53.46,E,L,Sangat Laris
NOP-21394-646,5/23/2021,16982-35708-BZ,2,2.5,29.785,59.57,L,D,Sangat Laris
NOP-21394-646,5/23/2021,16982-35708-BZ,3,2.5,29.785,89.355,L,D,Sangat Laris
NOP-21394-646,5/23/2021,16982-35708-BZ,4,0.5,9.51,38.04,L,L,Sangat Laris
NOP-21394-646,5/23/2021,16982-35708-BZ,3,1,13.75,41.25,E,M,Sangat Laris
FTV-77095-168,4/8/2021,66708-26678-QK,6,0.5,9.51,57.06,L,L,Sangat Laris
BOR-02906-411,10/17/2021,08743-09057-OO,6,2.5,29.785,178.71,L,D,Sangat Laris
WMP-68847-770,2/16/2022,37490-01572-JW,1,0.2,4.755,4.755,L,L,Kurang Laris
TMO-22785-872,7/15/2020,01811-60350-CU,6,1,13.75,82.5,E,M,Sangat Laris
TJG-73587-353,2/22/2020,24766-58139-GT,3,0.2,2.685,8.055,R,D,Kurang Laris
OOU-61343-455,1/15/2021,90123-70970-NY,2,1,11.25,22.5,A,M,Cukup Laris
RMA-08327-369,1/11/2021,93809-05424-MG,6,0.5,6.75,40.5,A,M,Sangat Laris
SFB-97929-779,4/8/2022,85425-33494-HQ,4,0.5,7.29,29.16,E,D,Cukup Laris
AUP-10128-606,10/1/2020,54387-64897-XC,1,0.5,6.75,6.75,A,M,Kurang Laris
YTW-40242-005,10/28/2019,01035-70465-UO,4,1,12.95,51.8,L,D,Sangat Laris
PRP-53390-819,3/28/2021,84260-39432-ML,6,0.5,8.91,53.46,E,L,Sangat Laris
GSJ-01065-125,3/31/2020,69779-40609-RS,4,0.2,3.645,14.58,E,D,Kurang Laris
YQU-65147-580,3/26/2022,80247-70000-HT,1,2.5,20.585,20.585,R,D,Cukup Laris
QPM-95832-683,11/6/2019,35058-04550-VC,2,1,15.85,31.7,L,L,Sangat Laris
BNQ-88920-567,12/30/2019,27226-53717-SY,6,0.2,3.885,23.31,L,D,Cukup Laris
PUX-47906-110,10/1/2021,02002-98725-CH,4,1,14.55,58.2,L,M,Sangat Laris
COL-72079-610,12/9/2020,38487-01549-MV,4,0.5,8.91,35.64,E,L,Sangat Laris
LBC-45686-819,5/1/2021,98573-41811-EQ,5,1,11.25,56.25,A,M,Sangat Laris
BLQ-03709-265,8/4/2022,72463-75685-MV,3,0.2,3.585,10.755,R,L,Kurang Laris
BLQ-03709-265,8/4/2022,72463-75685-MV,5,0.2,2.985,14.925,R,M,Kurang Laris
VFZ-91673-181,11/13/2021,10225-91535-AI,6,1,12.95,77.7,A,L,Sangat Laris
WKD-81956-870,9/16/2020,48090-06534-HI,3,0.5,7.77,23.31,L,D,Cukup Laris
TNI-91067-006,10/5/2020,80444-58185-FX,4,1,14.85,59.4,E,L,Sangat Laris
IZA-61469-812,1/6/2020,13561-92774-WP,4,2.5,29.785,119.14,L,D,Sangat Laris
PSS-22466-862,5/21/2021,11550-78378-GE,4,0.2,3.585,14.34,R,L,Kurang Laris
REH-56504-397,2/26/2020,90961-35603-RP,5,2.5,25.875,129.375,A,M,Sangat Laris
ALA-62598-016,2/19/2020,57145-03803-ZL,6,0.2,2.685,16.11,R,D,Cukup Laris
EYE-70374-835,6/29/2021,89115-11966-VF,5,0.2,3.585,17.925,R,L,Cukup Laris
CCZ-19589-212,3/27/2021,05754-41702-FG,2,0.2,4.365,8.73,L,M,Kurang Laris
BPT-83989-157,10/27/2021,84269-49816-ML,2,2.5,25.875,51.75,A,M,Sangat Laris
YFH-87456-208,6/12/2019,23600-98432-ME,2,0.2,4.365,8.73,L,M,Kurang Laris
JLN-14700-924,6/28/2020,79058-02767-CP,5,0.2,4.755,23.775,L,L,Cukup Laris
JVW-22582-137,3/23/2021,89208-74646-UK,5,0.2,4.125,20.625,E,M,Cukup Laris
LAA-41879-001,2/10/2022,11408-81032-UR,1,2.5,36.455,36.455,L,L,Sangat Laris
BRV-64870-915,4/16/2019,32070-55528-UG,5,2.5,36.455,182.275,L,L,Sangat Laris
RGJ-12544-083,2/12/2020,48873-84433-PN,3,2.5,29.785,89.355,L,D,Sangat Laris
JJX-83339-346,1/2/2022,32928-18158-OW,1,0.2,3.585,3.585,R,L,Kurang Laris
BIU-21970-705,12/7/2020,89711-56688-GG,2,2.5,22.885,45.77,R,M,Sangat Laris
ELJ-87741-745,2/20/2020,48389-71976-JB,4,1,14.85,59.4,E,L,Sangat Laris
SGI-48226-857,6/11/2020,84033-80762-EQ,6,2.5,25.875,155.25,A,M,Sangat Laris
AHV-66988-037,9/8/2020,12743-00952-KO,2,2.5,22.885,45.77,R,M,Sangat Laris
ISK-42066-094,3/28/2020,41505-42181-EF,3,1,12.15,36.45,E,D,Sangat Laris
FTC-35822-530,10/10/2020,14307-87663-KB,4,0.5,7.29,29.16,E,D,Cukup Laris
VSS-56247-688,5/21/2022,08360-19442-GB,4,2.5,33.465,133.86,L,M,Sangat Laris
HVW-25584-144,4/30/2020,93405-51204-UW,5,0.2,4.755,23.775,L,L,Cukup Laris
MUY-15309-209,12/12/2021,97152-03355-IW,3,1,12.95,38.85,L,D,Sangat Laris
VAJ-44572-469,10/27/2020,79216-73157-TE,6,0.2,3.585,21.51,R,L,Cukup Laris
YJU-84377-606,7/7/2020,20259-47723-AC,1,1,9.95,9.95,A,D,Kurang Laris
VNC-93921-469,1/31/2020,04666-71569-RI,1,1,15.85,15.85,L,L,Cukup Laris
OGB-91614-810,2/18/2020,08909-77713-CG,1,0.2,2.985,2.985,R,M,Kurang Laris
BQI-61647-496,6/13/2021,84340-73931-VV,5,1,13.75,68.75,E,M,Sangat Laris
IOM-51636-823,8/6/2022,04609-95151-XH,3,1,9.95,29.85,A,D,Sangat Laris
GGD-38107-641,11/23/2021,99562-88650-YF,4,1,14.55,58.2,L,M,Sangat Laris
LTO-95975-728,10/13/2021,46560-73885-PJ,4,0.5,7.17,28.68,R,L,Cukup Laris
IGM-84664-265,8/31/2021,80179-44620-WN,3,0.5,7.17,21.51,R,L,Cukup Laris
SKO-45740-621,1/16/2020,04666-71569-RI,2,0.5,8.73,17.46,L,M,Cukup Laris
FOJ-02234-063,4/25/2022,59081-87231-VP,1,2.5,27.945,27.945,E,D,Cukup Laris
MSJ-11909-468,11/13/2021,07878-45872-CC,5,2.5,27.945,139.725,E,D,Sangat Laris
DKB-78053-329,6/8/2021,12444-05174-OO,2,0.2,2.985,5.97,R,M,Kurang Laris
DFZ-45083-941,11/21/2020,34665-62561-AU,1,2.5,27.485,27.485,R,L,Cukup Laris
OTA-40969-710,3/14/2019,77877-11993-QH,5,1,11.95,59.75,R,L,Sangat Laris
GRH-45571-667,8/16/2019,32291-18308-YZ,3,1,13.75,41.25,E,M,Sangat Laris
NXV-05302-067,4/22/2019,25754-33191-ZI,4,2.5,33.465,133.86,L,M,Sangat Laris
VZH-86274-142,5/2/2022,53120-45532-KL,5,1,11.95,59.75,R,L,Sangat Laris
KIX-93248-135,2/11/2020,36605-83052-WB,1,0.5,5.97,5.97,A,D,Kurang Laris
AXR-10962-010,3/28/2021,53683-35977-KI,2,1,12.15,24.3,E,D,Cukup Laris
IHS-71573-008,5/8/2021,07972-83134-NM,6,0.2,3.645,21.87,E,D,Cukup Laris
QTR-19001-114,11/21/2019,01035-70465-UO,2,1,9.95,19.9,A,D,Cukup Laris
WBK-62297-910,5/17/2021,25514-23938-IQ,2,0.2,2.985,5.97,A,D,Kurang Laris
OGY-19377-175,7/9/2019,49084-44492-OJ,1,0.5,7.29,7.29,E,D,Kurang Laris
ESR-66651-814,5/20/2020,76624-72205-CK,4,0.2,2.985,11.94,A,D,Kurang Laris
CPX-46916-770,8/27/2021,12729-50170-JE,6,1,11.95,71.7,R,L,Sangat Laris
